name,IZTAPALAPA,GUSTAVO A. MADERO,CUAUHTEMOC,COYOACAN,TLALPAN,VENUSTIANO CARRANZA,BENITO JUAREZ,ALVARO OBREGON,MIGUEL HIDALGO,IZTACALCO,AZCAPOTZALCO,XOCHIMILCO,TLAHUAC,CUAJIMALPA DE MORELOS,LA MAGDALENA CONTRERAS,MILPA ALTA,SIN REGISTRO
2022 - Enero        .,2677,1713,1395,1033,1105,976,972,1069,778,709,690,570,526,255,184,125,2
2022 - Febrero        .,2764,1883,1540,1211,1225,1102,1169,1153,1007,734,644,632,462,312,227,140,3
2022 - Marzo        .,3169,2171,1894,1435,1377,1262,1314,1376,1253,833,772,661,480,306,247,122,7
2022 - Abril        .,3175,2019,1840,1381,1380,1299,1416,1094,1133,950,693,681,473,449,210,112,18
2022 - Mayo        .,3203,2392,2023,1543,1478,1572,1644,1285,1154,951,861,729,646,360,371,128,1
2022 - Junio        .,2804,2194,1992,1384,1426,1335,1421,1255,1210,919,794,843,544,509,297,124,1
2022 - Julio        .,3265,1934,2111,1276,1389,1655,1257,1201,1109,1011,814,736,612,396,335,186,1
2022 - Agosto        .,3160,2099,2235,1354,1500,1430,1322,1437,1121,926,748,746,557,472,343,114,
2022 - Septiembre        .,3509,2310,2183,1713,1605,1541,1546,1547,1258,1007,823,858,607,435,349,150,
2022 - Octubre        .,4038,2430,2579,1642,1645,1843,1562,1713,1506,1228,1043,813,714,403,416,174,
2022 - Noviembre        .,3300,2193,2090,1883,1541,1689,1477,1414,1379,1137,895,713,611,434,333,159,
2022 - Diciembre        .,3746,2617,2382,1583,1573,1696,1471,1440,1268,1074,915,869,677,429,380,146,
2023 - Enero        .,2873,1920,1901,1131,1196,1203,1178,1161,1049,752,615,641,560,317,294,140,
2023 - Febrero        .,3082,2082,1807,1391,1369,1321,1244,1255,1111,853,768,748,559,278,298,97,1
2023 - Marzo        .,3055,2193,2132,1503,1288,1288,1522,1253,1300,957,805,730,573,294,301,121,
2023 - Abril        .,2891,1888,1709,1333,1205,1282,1215,1120,1095,833,673,677,553,309,289,144,
2023 - Mayo        .,3106,2218,2071,1423,1385,1395,1396,1343,1304,871,873,694,579,415,343,125,
2023 - Junio        .,2991,2062,1934,1325,1412,1300,1325,1134,1300,885,746,743,465,312,277,113,
2023 - Julio        .,3157,2067,1949,1284,1328,1449,1253,1315,1226,880,815,751,624,357,314,139,
2023 - Agosto        .,3149,2179,1981,1415,1433,1306,1536,1328,1307,978,791,692,628,446,277,131,
2023 - Septiembre        .,3342,2279,2140,1641,1686,1442,1651,1512,1290,1083,950,869,645,425,366,144,
2023 - Octubre        .,3245,2540,2361,1491,1589,1645,1563,1575,1360,1039,840,886,608,462,296,194,
2023 - Noviembre        .,3450,2352,2143,1536,1472,1549,1433,1215,1142,1005,813,826,628,305,309,155,
2023 - Diciembre        .,3597,2498,2483,1486,1477,1637,1503,1342,1264,1055,826,1049,643,405,334,158,
2024 - Enero        .,2785,2024,1834,1187,1299,1119,1304,1232,982,898,691,678,557,268,274,133,
2024 - Febrero        .,2994,2154,1777,1354,1432,1390,1268,1299,1182,872,774,782,585,331,344,122,
