hora,tipo_incidente,cantidad,,
0,Persona atropellada,839,,
0,Persona atropellada,839,,
1,Persona atropellada,556,,16261
2,Persona atropellada,393,,1906.50566
3,Persona atropellada,368,,
4,Persona atropellada,313,,
5,Persona atropellada,435,,
6,Persona atropellada,1011,,
7,Persona atropellada,1928,,
8,Persona atropellada,2281,,
9,Persona atropellada,2258,,
10,Persona atropellada,2155,,
11,Persona atropellada,2315,,
12,Persona atropellada,2573,,
13,Persona atropellada,3262,,
14,Persona atropellada,4023,,
15,Persona atropellada,3701,,
16,Persona atropellada,3416,,
17,Persona atropellada,3190,,
18,Persona atropellada,3643,,
19,Persona atropellada,3817,,
20,Persona atropellada,3690,,
21,Persona atropellada,2971,,
22,Persona atropellada,2197,,
23,Persona atropellada,1415,,
0,Choque con lesionados,4461,,
1,Choque con lesionados,3534,,
2,Choque con lesionados,2857,,
3,Choque con lesionados,2426,,
4,Choque con lesionados,2114,,
5,Choque con lesionados,2491,,
6,Choque con lesionados,3582,,
7,Choque con lesionados,5593,,
8,Choque con lesionados,7018,,
9,Choque con lesionados,6342,,
10,Choque con lesionados,5577,,
11,Choque con lesionados,5364,,
12,Choque con lesionados,5834,,
13,Choque con lesionados,6876,,
14,Choque con lesionados,8600,,
15,Choque con lesionados,8655,,
16,Choque con lesionados,8221,,
17,Choque con lesionados,8214,,
18,Choque con lesionados,9155,,
19,Choque con lesionados,9060,,
20,Choque con lesionados,9108,,
21,Choque con lesionados,8763,,
22,Choque con lesionados,7903,,
23,Choque con lesionados,5935,,
0,Choque sin lesionados,7172,,
1,Choque sin lesionados,5189,,
2,Choque sin lesionados,3444,,
3,Choque sin lesionados,2739,,
4,Choque sin lesionados,2256,,
5,Choque sin lesionados,2346,,
6,Choque sin lesionados,3607,,
7,Choque sin lesionados,5882,,
8,Choque sin lesionados,7624,,
9,Choque sin lesionados,8871,,
10,Choque sin lesionados,9166,,
11,Choque sin lesionados,9479,,
12,Choque sin lesionados,9971,,
13,Choque sin lesionados,11020,,
14,Choque sin lesionados,13380,,
15,Choque sin lesionados,14360,,
16,Choque sin lesionados,14960,,
17,Choque sin lesionados,14709,,
18,Choque sin lesionados,15714,,
19,Choque sin lesionados,16261,,
20,Choque sin lesionados,15973,,
21,Choque sin lesionados,14805,,
22,Choque sin lesionados,12453,,
23,Choque sin lesionados,9669,,
0,Ciclista,107,,
1,Ciclista,68,,
2,Ciclista,43,,
3,Ciclista,25,,
4,Ciclista,18,,
5,Ciclista,30,,
6,Ciclista,97,,
7,Ciclista,211,,
8,Ciclista,329,,
9,Ciclista,358,,
10,Ciclista,366,,
11,Ciclista,336,,
12,Ciclista,367,,
13,Ciclista,396,,
14,Ciclista,508,,
15,Ciclista,462,,
16,Ciclista,419,,
17,Ciclista,397,,
18,Ciclista,459,,
19,Ciclista,464,,
20,Ciclista,359,,
21,Ciclista,318,,
22,Ciclista,263,,
23,Ciclista,203,,
0,Ferroviario,0,,
1,Ferroviario,1,,
2,Ferroviario,0,,
3,Ferroviario,0,,
4,Ferroviario,0,,
5,Ferroviario,0,,
6,Ferroviario,0,,
7,Ferroviario,0,,
8,Ferroviario,1,,
9,Ferroviario,41,,
10,Ferroviario,33,,
11,Ferroviario,3,,
12,Ferroviario,0,,
13,Ferroviario,1,,
14,Ferroviario,0,,
15,Ferroviario,0,,
16,Ferroviario,0,,
17,Ferroviario,2,,
18,Ferroviario,2,,
19,Ferroviario,2,,
20,Ferroviario,7,,
21,Ferroviario,0,,
22,Ferroviario,0,,
23,Ferroviario,0,,
0,Monopatín,1,,
1,Monopatín,0,,
2,Monopatín,2,,
3,Monopatín,0,,
4,Monopatín,0,,
5,Monopatín,3,,
6,Monopatín,3,,
7,Monopatín,2,,
8,Monopatín,10,,
9,Monopatín,9,,
10,Monopatín,9,,
11,Monopatín,11,,
12,Monopatín,10,,
13,Monopatín,22,,
14,Monopatín,24,,
15,Monopatín,16,,
16,Monopatín,12,,
17,Monopatín,14,,
18,Monopatín,20,,
19,Monopatín,15,,
20,Monopatín,10,,
21,Monopatín,6,,
22,Monopatín,3,,
23,Monopatín,2,,
0,Motociclista,2099,,
1,Motociclista,1569,,
2,Motociclista,1236,,
3,Motociclista,1120,,
4,Motociclista,936,,
5,Motociclista,988,,
6,Motociclista,1322,,
7,Motociclista,1754,,
8,Motociclista,2028,,
9,Motociclista,1784,,
10,Motociclista,1520,,
11,Motociclista,1476,,
12,Motociclista,1657,,
13,Motociclista,1857,,
14,Motociclista,2193,,
15,Motociclista,2411,,
16,Motociclista,2600,,
17,Motociclista,2720,,
18,Motociclista,3136,,
19,Motociclista,3384,,
20,Motociclista,3355,,
21,Motociclista,3510,,
22,Motociclista,3089,,
23,Motociclista,2550,,
0,Otros,260,,
1,Otros,74,,
2,Otros,77,,
3,Otros,57,,
4,Otros,59,,
5,Otros,60,,
6,Otros,33,,
7,Otros,52,,
8,Otros,43,,
9,Otros,32,,
