dia_semana,hora,tipo_incidente,cantidad,dia_hora
Viernes,0,Choque con lesionados,513,Viernes 0
Viernes,0,Choque sin lesionados,1002,Viernes 0
Viernes,0,Ciclista,15,Viernes 0
Viernes,0,Motociclista,276,Viernes 0
Viernes,0,Otros,8,Viernes 0
Viernes,0,Persona atrapada,5,Viernes 0
Viernes,0,Persona atropellada,112,Viernes 0
Viernes,0,Vehículo atrapado,9,Viernes 0
Viernes,0,Volcadura,42,Viernes 0
Viernes,1,Choque con lesionados,430,Viernes 1
Viernes,1,Choque sin lesionados,710,Viernes 1
Viernes,1,Ciclista,18,Viernes 1
Viernes,1,Motociclista,154,Viernes 1
Viernes,1,Otros,10,Viernes 1
Viernes,1,Persona atrapada,7,Viernes 1
Viernes,1,Persona atropellada,72,Viernes 1
Viernes,1,Vehículo atrapado,3,Viernes 1
Viernes,1,Volcadura,67,Viernes 1
Viernes,2,Choque con lesionados,318,Viernes 2
Viernes,2,Choque sin lesionados,418,Viernes 2
Viernes,2,Ciclista,9,Viernes 2
Viernes,2,Motociclista,138,Viernes 2
Viernes,2,Otros,11,Viernes 2
Viernes,2,Persona atrapada,7,Viernes 2
Viernes,2,Persona atropellada,21,Viernes 2
Viernes,2,Vehículo atrapado,5,Viernes 2
Viernes,2,Volcadura,49,Viernes 2
Viernes,3,Choque con lesionados,219,Viernes 3
Viernes,3,Choque sin lesionados,281,Viernes 3
Viernes,3,Ciclista,4,Viernes 3
Viernes,3,Motociclista,95,Viernes 3
Viernes,3,Otros,6,Viernes 3
Viernes,3,Persona atrapada,7,Viernes 3
Viernes,3,Persona atropellada,23,Viernes 3
Viernes,3,Vehículo atrapado,8,Viernes 3
Viernes,3,Volcadura,45,Viernes 3
Viernes,4,Choque con lesionados,211,Viernes 4
Viernes,4,Choque sin lesionados,203,Viernes 4
Viernes,4,Ciclista,4,Viernes 4
Viernes,4,Motociclista,86,Viernes 4
Viernes,4,Otros,4,Viernes 4
Viernes,4,Persona atrapada,3,Viernes 4
Viernes,4,Persona atropellada,34,Viernes 4
Viernes,4,Vehículo atrapado,5,Viernes 4
Viernes,4,Volcadura,55,Viernes 4
Viernes,5,Choque con lesionados,316,Viernes 5
Viernes,5,Choque sin lesionados,262,Viernes 5
Viernes,5,Ciclista,4,Viernes 5
Viernes,5,Monopatín,1,Viernes 5
Viernes,5,Motociclista,115,Viernes 5
Viernes,5,Otros,7,Viernes 5
Viernes,5,Persona atrapada,6,Viernes 5
Viernes,5,Persona atropellada,45,Viernes 5
Viernes,5,Vehículo atrapado,11,Viernes 5
Viernes,5,Volcadura,68,Viernes 5
Viernes,6,Choque con lesionados,472,Viernes 6
Viernes,6,Choque sin lesionados,514,Viernes 6
Viernes,6,Ciclista,13,Viernes 6
Viernes,6,Motociclista,154,Viernes 6
Viernes,6,Otros,6,Viernes 6
Viernes,6,Persona atrapada,2,Viernes 6
Viernes,6,Persona atropellada,141,Viernes 6
Viernes,6,Vehículo atrapado,18,Viernes 6
Viernes,6,Volcadura,60,Viernes 6
Viernes,7,Choque con lesionados,787,Viernes 7
Viernes,7,Choque sin lesionados,830,Viernes 7
Viernes,7,Ciclista,38,Viernes 7
Viernes,7,Motociclista,241,Viernes 7
Viernes,7,Otros,2,Viernes 7
Viernes,7,Persona atrapada,8,Viernes 7
Viernes,7,Persona atropellada,279,Viernes 7
Viernes,7,Vehículo atrapado,20,Viernes 7
Viernes,7,Volcadura,46,Viernes 7
Viernes,8,Choque con lesionados,1074,Viernes 8
Viernes,8,Choque sin lesionados,1086,Viernes 8
Viernes,8,Ciclista,45,Viernes 8
Viernes,8,Ferroviario,1,Viernes 8
Viernes,8,Motociclista,273,Viernes 8
Viernes,8,Otros,5,Viernes 8
Viernes,8,Persona atrapada,10,Viernes 8
Viernes,8,Persona atropellada,357,Viernes 8
Viernes,8,Vehículo atrapado,8,Viernes 8
Viernes,8,Volcadura,45,Viernes 8
Viernes,9,Choque con lesionados,932,Viernes 9
Viernes,9,Choque sin lesionados,1316,Viernes 9
Viernes,9,Ciclista,57,Viernes 9
Viernes,9,Monopatín,4,Viernes 9
Viernes,9,Motociclista,246,Viernes 9
Viernes,9,Otros,3,Viernes 9
Viernes,9,Persona atrapada,9,Viernes 9
Viernes,9,Persona atropellada,330,Viernes 9
Viernes,9,Vehículo atrapado,11,Viernes 9
Viernes,9,Volcadura,20,Viernes 9
Viernes,10,Choque con lesionados,808,Viernes 10
Viernes,10,Choque sin lesionados,1435,Viernes 10
Viernes,10,Ciclista,51,Viernes 10
Viernes,10,Ferroviario,1,Viernes 10
Viernes,10,Monopatín,2,Viernes 10
Viernes,10,Motociclista,241,Viernes 10
Viernes,10,Otros,7,Viernes 10
Viernes,10,Persona atrapada,12,Viernes 10
Viernes,10,Persona atropellada,365,Viernes 10
Viernes,10,Vehículo atrapado,10,Viernes 10
Viernes,10,Volcadura,23,Viernes 10
Viernes,11,Choque con lesionados,789,Viernes 11
Viernes,11,Choque sin lesionados,1417,Viernes 11
Viernes,11,Ciclista,43,Viernes 11
Viernes,11,Monopatín,1,Viernes 11
Viernes,11,Motociclista,184,Viernes 11
Viernes,11,Otros,6,Viernes 11
Viernes,11,Persona atrapada,19,Viernes 11
Viernes,11,Persona atropellada,329,Viernes 11
Viernes,11,Vehículo atrapado,3,Viernes 11
Viernes,11,Volcadura,13,Viernes 11
Viernes,12,Choque con lesionados,841,Viernes 12
Viernes,12,Choque sin lesionados,1521,Viernes 12
Viernes,12,Ciclista,50,Viernes 12
Viernes,12,Monopatín,2,Viernes 12
Viernes,12,Motociclista,239,Viernes 12
Viernes,12,Otros,6,Viernes 12
Viernes,12,Persona atrapada,16,Viernes 12
Viernes,12,Persona atropellada,295,Viernes 12
Viernes,12,Vehículo atrapado,14,Viernes 12
Viernes,12,Volcadura,44,Viernes 12
Viernes,13,Choque con lesionados,958,Viernes 13
Viernes,13,Choque sin lesionados,1696,Viernes 13
Viernes,13,Ciclista,42,Viernes 13
Viernes,13,Monopatín,4,Viernes 13
Viernes,13,Motociclista,267,Viernes 13
Viernes,13,Otros,6,Viernes 13
Viernes,13,Persona atrapada,19,Viernes 13
Viernes,13,Persona atropellada,500,Viernes 13
Viernes,13,Vehículo atrapado,9,Viernes 13
Viernes,13,Volcadura,25,Viernes 13
Viernes,14,Choque con lesionados,1352,Viernes 14
Viernes,14,Choque sin lesionados,2074,Viernes 14
Viernes,14,Ciclista,77,Viernes 14
Viernes,14,Monopatín,7,Viernes 14
Viernes,14,Motociclista,293,Viernes 14
Viernes,14,Otros,16,Viernes 14
Viernes,14,Persona atrapada,24,Viernes 14
Viernes,14,Persona atropellada,614,Viernes 14
Viernes,14,Vehículo atrapado,13,Viernes 14
Viernes,14,Volcadura,51,Viernes 14
Viernes,15,Choque con lesionados,1387,Viernes 15
Viernes,15,Choque sin lesionados,2302,Viernes 15
Viernes,15,Ciclista,59,Viernes 15
Viernes,15,Monopatín,6,Viernes 15
Viernes,15,Motociclista,347,Viernes 15
Viernes,15,Otros,14,Viernes 15
Viernes,15,Persona atrapada,21,Viernes 15
Viernes,15,Persona atropellada,562,Viernes 15
Viernes,15,Vehículo atrapado,13,Viernes 15
Viernes,15,Volcadura,65,Viernes 15
Viernes,16,Choque con lesionados,1265,Viernes 16
Viernes,16,Choque sin lesionados,2553,Viernes 16
Viernes,16,Ciclista,59,Viernes 16
Viernes,16,Monopatín,1,Viernes 16
Viernes,16,Motociclista,407,Viernes 16
Viernes,16,Otros,7,Viernes 16
Viernes,16,Persona atrapada,22,Viernes 16
Viernes,16,Persona atropellada,570,Viernes 16
Viernes,16,Vehículo atrapado,15,Viernes 16
Viernes,16,Volcadura,82,Viernes 16
Viernes,17,Choque con lesionados,1291,Viernes 17
Viernes,17,Choque sin lesionados,2584,Viernes 17
Viernes,17,Ciclista,66,Viernes 17
Viernes,17,Ferroviario,2,Viernes 17
Viernes,17,Monopatín,1,Viernes 17
Viernes,17,Motociclista,425,Viernes 17
Viernes,17,Otros,25,Viernes 17
Viernes,17,Persona atrapada,26,Viernes 17
Viernes,17,Persona atropellada,487,Viernes 17
Viernes,17,Vehículo atrapado,11,Viernes 17
Viernes,17,Volcadura,38,Viernes 17
Viernes,18,Choque con lesionados,1425,Viernes 18
Viernes,18,Choque sin lesionados,2872,Viernes 18
Viernes,18,Ciclista,72,Viernes 18
Viernes,18,Ferroviario,2,Viernes 18
Viernes,18,Monopatín,5,Viernes 18
Viernes,18,Motociclista,477,Viernes 18
Viernes,18,Otros,14,Viernes 18
Viernes,18,Persona atrapada,24,Viernes 18
Viernes,18,Persona atropellada,659,Viernes 18
Viernes,18,Vehículo atrapado,17,Viernes 18
Viernes,18,Volcadura,67,Viernes 18
Viernes,19,Choque con lesionados,1516,Viernes 19
Viernes,19,Choque sin lesionados,2975,Viernes 19
Viernes,19,Ciclista,80,Viernes 19
Viernes,19,Ferroviario,2,Viernes 19
Viernes,19,Monopatín,3,Viernes 19
Viernes,19,Motociclista,558,Viernes 19
Viernes,19,Otros,10,Viernes 19
Viernes,19,Persona atrapada,38,Viernes 19
Viernes,19,Persona atropellada,632,Viernes 19
Viernes,19,Vehículo atrapado,28,Viernes 19
Viernes,19,Volcadura,34,Viernes 19
Viernes,20,Choque con lesionados,1524,Viernes 20
Viernes,20,Choque sin lesionados,3015,Viernes 20
Viernes,20,Ciclista,74,Viernes 20
Viernes,20,Monopatín,2,Viernes 20
Viernes,20,Motociclista,507,Viernes 20
Viernes,20,Otros,11,Viernes 20
